data;numero_dias_previsao
01/01/2011;45
08/01/2011;45
15/01/2011;45
22/01/2011;45
29/01/2011;45
05/02/2011;45
12/02/2011;45
19/02/2011;45
26/02/2011;45
05/03/2011;45
12/03/2011;45
19/03/2011;45
26/03/2011;45
02/04/2011;45
09/04/2011;45
16/04/2011;45
23/04/2011;45
30/04/2011;45
07/05/2011;45
14/05/2011;45
21/05/2011;45
28/05/2011;45
04/06/2011;45
11/06/2011;45
18/06/2011;45
25/06/2011;45
02/07/2011;45
09/07/2011;45
16/07/2011;45
23/07/2011;45
30/07/2011;45
06/08/2011;45
13/08/2011;45
20/08/2011;45
27/08/2011;45
03/09/2011;45
10/09/2011;45
17/09/2011;45
24/09/2011;45
01/10/2011;45
08/10/2011;45
15/10/2011;45
22/10/2011;45
29/10/2011;45
05/11/2011;45
12/11/2011;45
19/11/2011;45
26/11/2011;45
03/12/2011;45
10/12/2011;45
17/12/2011;45
24/12/2011;45
31/12/2011;45
07/01/2012;45
14/01/2012;45
21/01/2012;45
28/01/2012;45
04/02/2012;45
11/02/2012;45
18/02/2012;45
25/02/2012;45
03/03/2012;45
10/03/2012;45
17/03/2012;45
24/03/2012;45
31/03/2012;45
07/04/2012;45
14/04/2012;45
21/04/2012;45
28/04/2012;45
05/05/2012;45
12/05/2012;45
19/05/2012;45
26/05/2012;45
02/06/2012;45
09/06/2012;45
16/06/2012;45
23/06/2012;45
30/06/2012;45
07/07/2012;45
14/07/2012;45
21/07/2012;45
28/07/2012;45
04/08/2012;45
11/08/2012;45
18/08/2012;45
25/08/2012;45
01/09/2012;45
08/09/2012;45
15/09/2012;45
22/09/2012;45
29/09/2012;45
06/10/2012;45
13/10/2012;45
20/10/2012;45
27/10/2012;45
03/11/2012;45
10/11/2012;45
17/11/2012;45
24/11/2012;45
01/12/2012;45
08/12/2012;45
15/12/2012;45
22/12/2012;45
29/12/2012;45
05/01/2013;45
12/01/2013;45
19/01/2013;45
26/01/2013;45
02/02/2013;45
09/02/2013;45
16/02/2013;45
23/02/2013;45
02/03/2013;45
09/03/2013;45
16/03/2013;45
23/03/2013;45
30/03/2013;45
06/04/2013;45
13/04/2013;45
20/04/2013;45
27/04/2013;45
04/05/2013;45
11/05/2013;45
18/05/2013;45
25/05/2013;45
01/06/2013;45
08/06/2013;45
15/06/2013;45
22/06/2013;45
29/06/2013;45
06/07/2013;45
13/07/2013;45
20/07/2013;45
27/07/2013;45
03/08/2013;45
10/08/2013;45
17/08/2013;45
24/08/2013;45
31/08/2013;45
07/09/2013;45
14/09/2013;45
21/09/2013;45
28/09/2013;45
05/10/2013;45
12/10/2013;45
19/10/2013;45
26/10/2013;45
02/11/2013;45
09/11/2013;45
16/11/2013;45
23/11/2013;45
30/11/2013;45
07/12/2013;45
14/12/2013;45
21/12/2013;45
28/12/2013;45
04/01/2014;45
11/01/2014;45
18/01/2014;45
25/01/2014;45
01/02/2014;45
08/02/2014;45
15/02/2014;45
22/02/2014;45
01/03/2014;45
08/03/2014;45
15/03/2014;45
22/03/2014;45
29/03/2014;45
05/04/2014;45
12/04/2014;45
19/04/2014;45
26/04/2014;45
03/05/2014;45
10/05/2014;45
17/05/2014;45
24/05/2014;45
31/05/2014;45
07/06/2014;45
14/06/2014;45
21/06/2014;45
28/06/2014;45
05/07/2014;45
12/07/2014;45
19/07/2014;45
26/07/2014;45
02/08/2014;45
09/08/2014;45
16/08/2014;45
23/08/2014;45
30/08/2014;45
06/09/2014;45
13/09/2014;45
20/09/2014;45
27/09/2014;45
04/10/2014;45
11/10/2014;45
18/10/2014;45
25/10/2014;45
01/11/2014;45
08/11/2014;45
15/11/2014;45
22/11/2014;45
29/11/2014;45
06/12/2014;45
13/12/2014;45
20/12/2014;45
27/12/2014;45
03/01/2015;45
10/01/2015;45
17/01/2015;45
24/01/2015;45
31/01/2015;45
07/02/2015;45
14/02/2015;45
21/02/2015;45
28/02/2015;45
07/03/2015;45
14/03/2015;45
21/03/2015;45
28/03/2015;45
04/04/2015;45
11/04/2015;45
18/04/2015;45
25/04/2015;45
02/05/2015;45
09/05/2015;45
16/05/2015;45
23/05/2015;45
30/05/2015;45
06/06/2015;45
13/06/2015;45
20/06/2015;45
27/06/2015;45
04/07/2015;45
11/07/2015;45
18/07/2015;45
25/07/2015;45
01/08/2015;45
08/08/2015;45
15/08/2015;45
22/08/2015;45
29/08/2015;45
05/09/2015;45
12/09/2015;45
19/09/2015;45
26/09/2015;45
03/10/2015;45
10/10/2015;45
17/10/2015;45
24/10/2015;45
31/10/2015;45
07/11/2015;45
14/11/2015;45
21/11/2015;45
28/11/2015;45
05/12/2015;45
12/12/2015;45
19/12/2015;45
26/12/2015;45
02/01/2016;45
09/01/2016;45
16/01/2016;45
23/01/2016;45
30/01/2016;45
06/02/2016;45
13/02/2016;45
20/02/2016;45
27/02/2016;45
05/03/2016;45
12/03/2016;45
19/03/2016;45
26/03/2016;45
02/04/2016;45
09/04/2016;45
16/04/2016;45
23/04/2016;45
30/04/2016;45
07/05/2016;45
14/05/2016;45
21/05/2016;45
28/05/2016;45
04/06/2016;45
11/06/2016;45
18/06/2016;45
25/06/2016;45
02/07/2016;45
09/07/2016;45
16/07/2016;45
23/07/2016;45
30/07/2016;45
06/08/2016;45
13/08/2016;45
20/08/2016;45
27/08/2016;45
03/09/2016;45
10/09/2016;45
17/09/2016;45
24/09/2016;45
01/10/2016;45
08/10/2016;45
15/10/2016;45
22/10/2016;45
29/10/2016;45
05/11/2016;45
12/11/2016;45
19/11/2016;45
26/11/2016;45
03/12/2016;45
10/12/2016;45
17/12/2016;45
24/12/2016;45
31/12/2016;45
07/01/2017;45
14/01/2017;45
21/01/2017;45
28/01/2017;45
04/02/2017;45
11/02/2017;45
18/02/2017;45
25/02/2017;45
04/03/2017;45
11/03/2017;45
18/03/2017;45
25/03/2017;45
01/04/2017;45
08/04/2017;45
15/04/2017;45
22/04/2017;45
29/04/2017;45
06/05/2017;45
13/05/2017;45
20/05/2017;45
27/05/2017;45
03/06/2017;45
10/06/2017;45
17/06/2017;45
24/06/2017;45
01/07/2017;45
08/07/2017;45
15/07/2017;45
22/07/2017;45
29/07/2017;45
05/08/2017;45
12/08/2017;45
19/08/2017;45
26/08/2017;45
02/09/2017;45
09/09/2017;45
16/09/2017;45
23/09/2017;45
30/09/2017;45
07/10/2017;45
14/10/2017;45
21/10/2017;45
28/10/2017;45
04/11/2017;45
11/11/2017;45
18/11/2017;45
25/11/2017;45
02/12/2017;45
09/12/2017;45
16/12/2017;45
23/12/2017;45
30/12/2017;45
06/01/2018;45
13/01/2018;45
20/01/2018;45
27/01/2018;45
03/02/2018;45
10/02/2018;45
17/02/2018;45
24/02/2018;45
03/03/2018;45
10/03/2018;45
17/03/2018;45
24/03/2018;45
31/03/2018;45
07/04/2018;45
14/04/2018;45
21/04/2018;45
28/04/2018;45
05/05/2018;45
12/05/2018;45
19/05/2018;45
26/05/2018;45
02/06/2018;45
09/06/2018;45
16/06/2018;45
23/06/2018;45
30/06/2018;45
07/07/2018;45
14/07/2018;45
21/07/2018;45
28/07/2018;45
04/08/2018;45
11/08/2018;45
18/08/2018;45
25/08/2018;45
01/09/2018;45
08/09/2018;45
15/09/2018;45
22/09/2018;45
29/09/2018;45
06/10/2018;45
13/10/2018;45
20/10/2018;45
27/10/2018;45
03/11/2018;45
10/11/2018;45
17/11/2018;45
24/11/2018;45
01/12/2018;45
08/12/2018;45
15/12/2018;45
22/12/2018;45
29/12/2018;45
05/01/2019;45
12/01/2019;45
19/01/2019;45
26/01/2019;45
02/02/2019;45
09/02/2019;45
16/02/2019;45
23/02/2019;45
02/03/2019;45
09/03/2019;45
16/03/2019;45
23/03/2019;45
30/03/2019;45
06/04/2019;45
13/04/2019;45
20/04/2019;45
27/04/2019;45
04/05/2019;45
11/05/2019;45
18/05/2019;45
25/05/2019;45
01/06/2019;45
08/06/2019;45
15/06/2019;45
22/06/2019;45
29/06/2019;45
06/07/2019;45
13/07/2019;45
20/07/2019;45
27/07/2019;45
03/08/2019;45
10/08/2019;45
17/08/2019;45
24/08/2019;45
31/08/2019;45
07/09/2019;45
14/09/2019;45
21/09/2019;45
28/09/2019;45
05/10/2019;45
12/10/2019;45
19/10/2019;45
26/10/2019;45
02/11/2019;45
09/11/2019;45
16/11/2019;45
23/11/2019;45
30/11/2019;45
07/12/2019;45
14/12/2019;45
21/12/2019;45
28/12/2019;45
04/01/2020;45
11/01/2020;45
18/01/2020;45
25/01/2020;45
01/02/2020;45
08/02/2020;45
15/02/2020;45
22/02/2020;45
29/02/2020;45
07/03/2020;45
14/03/2020;45
21/03/2020;45
28/03/2020;45
04/04/2020;45
11/04/2020;45
18/04/2020;45
25/04/2020;45
02/05/2020;45
09/05/2020;45
16/05/2020;45
23/05/2020;45
30/05/2020;45
06/06/2020;45
13/06/2020;45
20/06/2020;45
27/06/2020;45
04/07/2020;45
11/07/2020;45
18/07/2020;45
25/07/2020;45
01/08/2020;45
08/08/2020;45
15/08/2020;45
22/08/2020;45
29/08/2020;45
05/09/2020;45
12/09/2020;45
19/09/2020;45
26/09/2020;45
03/10/2020;45
10/10/2020;45
17/10/2020;45
24/10/2020;45
31/10/2020;45
07/11/2020;45
14/11/2020;45
21/11/2020;45
28/11/2020;45
05/12/2020;45
12/12/2020;45
19/12/2020;45
26/12/2020;45
02/01/2021;45
09/01/2021;45
16/01/2021;45
23/01/2021;45
30/01/2021;45
06/02/2021;45
13/02/2021;45
20/02/2021;45
27/02/2021;45
06/03/2021;45
13/03/2021;45
20/03/2021;45
27/03/2021;45
03/04/2021;45
10/04/2021;45
17/04/2021;45
24/04/2021;45
01/05/2021;45
08/05/2021;45
15/05/2021;45
22/05/2021;45
29/05/2021;45
05/06/2021;45
12/06/2021;45
19/06/2021;45
26/06/2021;45
03/07/2021;45
10/07/2021;45
17/07/2021;45
24/07/2021;45
31/07/2021;45
07/08/2021;45
14/08/2021;45
21/08/2021;45
28/08/2021;45
04/09/2021;45
11/09/2021;45
18/09/2021;45
25/09/2021;45
02/10/2021;45
09/10/2021;45
16/10/2021;45
23/10/2021;45
30/10/2021;45
06/11/2021;45
13/11/2021;45
20/11/2021;45
27/11/2021;45
04/12/2021;45
11/12/2021;45
18/12/2021;45
25/12/2021;45
01/01/2022;45
08/01/2022;45
15/01/2022;45
22/01/2022;45
29/01/2022;45
05/02/2022;45
12/02/2022;45
19/02/2022;45
26/02/2022;45
05/03/2022;45
12/03/2022;45
19/03/2022;45
26/03/2022;45
02/04/2022;45
09/04/2022;45
16/04/2022;45
23/04/2022;45
30/04/2022;45
07/05/2022;45
14/05/2022;45
21/05/2022;45
28/05/2022;45
04/06/2022;45
11/06/2022;45
18/06/2022;45
25/06/2022;45
02/07/2022;45
09/07/2022;45
16/07/2022;45
23/07/2022;45
30/07/2022;45
06/08/2022;45
13/08/2022;45
20/08/2022;45
27/08/2022;45
03/09/2022;45
10/09/2022;45
17/09/2022;45
24/09/2022;45
01/10/2022;45
08/10/2022;45
15/10/2022;45
22/10/2022;45
29/10/2022;45
05/11/2022;45
12/11/2022;45
19/11/2022;45
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
