mes;nome;valor
1;avermelha;5.65
2;avermelha;6.18
3;avermelha;5.61
4;avermelha;4.9
5;avermelha;4.26
6;avermelha;4.03
7;avermelha;4.68
8;avermelha;5.71
9;avermelha;6.07
10;avermelha;6.61
11;avermelha;6.5
12;avermelha;5.61
1;baixoig;6.23
2;baixoig;5.75
3;baixoig;4.9
4;baixoig;3.63
5;baixoig;2.52
6;baixoig;2
7;baixoig;2.35
8;baixoig;3.13
9;baixoig;3.77
10;baixoig;4.94
11;baixoig;6.07
12;baixoig;6.39
1;candonga;5.71
2;candonga;5.86
3;candonga;5.35
4;candonga;4.23
5;candonga;3.42
6;candonga;2.93
7;candonga;3.03
8;candonga;4
9;candonga;4.4
10;candonga;4.71
11;candonga;4.93
12;candonga;5.03
1;capivara;6.61
2;capivara;6.23
3;capivara;5.74
4;capivara;5.07
5;capivara;3.35
6;capivara;2.97
7;capivara;3.68
8;capivara;4.45
9;capivara;5.23
10;capivara;6.42
11;capivara;6.97
12;capivara;6.35
1;colider;3.61
2;colider;3.71
3;colider;3.55
4;colider;3.57
5;colider;3.23
6;colider;2.6
7;colider;2.42
8;colider;2.94
9;colider;3.4
10;colider;3.87
11;colider;3.87
12;colider;3.94
1;dfranc;6.61
2;dfranc;5.75
3;dfranc;4.52
4;dfranc;3.2
5;dfranc;2.1
6;dfranc;1.4
7;dfranc;1.68
8;dfranc;2.39
9;dfranc;3.2
10;dfranc;4.74
11;dfranc;5.9
12;dfranc;6.65
1;irape;6.13
2;irape;6.46
3;irape;5.94
4;irape;5.17
5;irape;4.52
6;irape;4.13
7;irape;4.45
8;irape;5.48
9;irape;6.17
10;irape;6.1
11;irape;5.53
12;irape;5.42
1;ita;6.42
2;ita;5.79
3;ita;4.84
4;ita;3.6
5;ita;2.42
6;ita;1.83
7;ita;2.16
8;ita;2.9
9;ita;3.57
10;ita;4.9
11;ita;6.07
12;ita;6.32
1;manso;4.97
2;manso;5.21
3;manso;4.94
4;manso;5.23
5;manso;4.68
6;manso;5.03
7;manso;5.52
8;manso;6.55
9;manso;7
10;manso;6.35
11;manso;5.83
12;manso;5.55
1;navanhanda;5.9
2;navanhanda;6.18
3;navanhanda;5.65
4;navanhanda;4.77
5;navanhanda;3.97
6;navanhanda;3.67
7;navanhanda;4.16
8;navanhanda;5.16
9;navanhanda;5.67
10;navanhanda;6.42
11;navanhanda;6.53
12;navanhanda;5.84
1;pimentalt;4.9
2;pimentalt;5.21
3;pimentalt;5.16
4;pimentalt;4.97
5;pimentalt;4.65
6;pimentalt;4.47
7;pimentalt;4.9
8;pimentalt;5.65
9;pimentalt;5.67
10;pimentalt;5.42
11;pimentalt;5.07
12;pimentalt;4.68
1;smesa;5.03
2;smesa;5.25
3;smesa;5.16
4;smesa;5.37
5;smesa;5.39
6;smesa;5.57
7;smesa;6.26
8;smesa;7.52
9;smesa;7.6
10;smesa;6.52
11;smesa;5.47
12;smesa;5
1;sobradinho;5.29
2;sobradinho;5.7
3;sobradinho;5.26
4;sobradinho;4.75
5;sobradinho;4.23
6;sobradinho;3.92
7;sobradinho;4.39
8;sobradinho;5.27
9;sobradinho;5.65
10;sobradinho;5.65
11;sobradinho;5.18
12;sobradinho;4.85
1;ssimao2;5.45
2;ssimao2;6.04
3;ssimao2;5.48
4;ssimao2;4.93
5;ssimao2;4.42
6;ssimao2;4.23
7;ssimao2;4.94
8;ssimao2;6
9;ssimao2;6.23
10;ssimao2;6.58
11;ssimao2;6.3
12;ssimao2;5.42
